# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x080003A4	0x080004C3	thumb	AgbMain
0x080004C4	0x080004D7	thumb	UpdateLinkAndCallCallbacks
0x080004D8	0x0800051B	thumb	InitMainCallbacks
0x0800051C	0x0800053F	thumb	CallCallbacks
0x08000540	0x08000553	thumb	SetMainCallback2
0x08000554	0x0800055F	thumb	StartTimer1
0x08000560	0x08000587	thumb	SeedRngAndSetTrainerId
0x08000588	0x08000593	thumb	GetGeneratedTrainerIdLower
0x08000594	0x080005BB	thumb	EnableVCountIntrAtLine150
0x080005BC	0x080005E3	thumb	InitKeys
0x080005E4	0x08000683	thumb	ReadKeys
0x08000684	0x080006EF	thumb	InitIntrHandlers
0x080006F0	0x080006FB	thumb	SetVBlankCallback
0x080006FC	0x08000707	thumb	SetHBlankCallback
0x08000708	0x08000713	thumb	SetVCountCallback
0x08000714	0x0800072B	thumb	RestoreSerialTimer3IntrHandlers
0x0800072C	0x08000737	thumb	SetSerialCallback
0x08000738	0x080007FF	thumb	VBlankIntr
0x08000800	0x08000813	thumb	InitFlashTimer
0x08000814	0x08000843	thumb	HBlankIntr
0x08000844	0x08000877	thumb	VCountIntr
0x08000878	0x080008A7	thumb	SerialIntr
0x080008A8	0x080008A9	thumb	IntrDummy
0x080008AC	0x080008DB	thumb	WaitForVBlank
0x080008DC	0x080008E7	thumb	SetTrainerHillVBlankCounter
0x080008E8	0x080008F3	thumb	ClearTrainerHillVBlankCounter
0x080008F4	0x08000963	thumb	DoSoftReset
0x08000964	0x08000987	thumb	ClearPokemonCrySongs
0x08000988	0x080009A3	thumb	PutMemBlockHeader
0x080009A4	0x080009B5	thumb	PutFirstMemBlockHeader
0x080009B8	0x08000A1D	thumb	AllocInternal
0x08000A20	0x08000A81	thumb	FreeInternal
0x08000A84	0x08000AC1	thumb	AllocZeroedInternal
0x08000AC4	0x08000B1B	thumb	CheckMemBlockInternal
0x08000B1C	0x08000B37	thumb	InitHeap
0x08000B38	0x08000B4B	thumb	Alloc
0x08000B4C	0x08000B5F	thumb	AllocZeroed
0x08000B60	0x08000B73	thumb	Free
0x08000B74	0x08000B87	thumb	CheckMemBlock
0x08000B88	0x08000BB7	thumb	CheckHeap
0x08000BB8	0x08000BEF	thumb	ClearDma3Requests
0x08000BF0	0x08000E67	thumb	ProcessDma3Requests
0x08000E68	0x08000EFD	thumb	RequestDma3Copy
0x08000F00	0x08000FA3	thumb	RequestDma3Fill
0x08000FA4	0x08000FE3	thumb	CheckForSpaceForDma3Request
0x08000FE4	0x0800103B	thumb	InitGpuRegManager
0x0800103C	0x0800107F	thumb	CopyBufferedValueToGpuReg
0x08001080	0x080010B3	thumb	CopyBufferedValuesToGpuRegs
0x080010B4	0x0800113F	thumb	SetGpuReg
0x08001140	0x080011B7	thumb	SetGpuReg_ForcedBlank
0x080011B8	0x080011E7	thumb	GetGpuReg
0x080011E8	0x08001207	thumb	SetGpuRegBits
0x08001208	0x08001227	thumb	ClearGpuRegBits
0x08001228	0x0800125B	thumb	SyncRegIE
0x0800125C	0x08001287	thumb	EnableInterrupts
0x08001288	0x080012B3	thumb	DisableInterrupts
0x080012B4	0x080012EF	thumb	UpdateRegDispstatIntrBits
0x080012F0	0x08001307	thumb	ResetBgs
0x08001308	0x08001323	thumb	SetBgModeInternal
0x08001324	0x08001333	thumb	GetBgMode
0x08001334	0x08001353	thumb	ResetBgControlStructs
0x08001354	0x0800137F	thumb	Unused_ResetBgControlStruct
0x08001380	0x080014AB	thumb	SetBgControlAttributes
0x080014AC	0x0800155F	thumb	GetBgControlAttribute
0x08001560	0x080015E7	thumb	LoadBgVram
0x080015E8	0x08001663	thumb	ShowBgInternal
0x08001664	0x08001697	thumb	HideBgInternal
0x08001698	0x080016BB	thumb	SyncBgVisibilityAndMode
