# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x080003A4	thumb	AgbMain
0x080004C4	thumb	UpdateLinkAndCallCallbacks
0x080004D8	thumb	InitMainCallbacks
0x0800051C	thumb	CallCallbacks
0x08000540	thumb	SetMainCallback2
0x08000554	thumb	StartTimer1
0x08000560	thumb	SeedRngAndSetTrainerId
0x08000588	thumb	GetGeneratedTrainerIdLower
0x08000594	thumb	EnableVCountIntrAtLine150
0x080005BC	thumb	InitKeys
0x080005E4	thumb	ReadKeys
0x08000684	thumb	InitIntrHandlers
0x080006F0	thumb	SetVBlankCallback
0x080006FC	thumb	SetHBlankCallback
0x08000708	thumb	SetVCountCallback
0x08000714	thumb	RestoreSerialTimer3IntrHandlers
0x0800072C	thumb	SetSerialCallback
0x08000738	thumb	VBlankIntr
0x08000800	thumb	InitFlashTimer
0x08000814	thumb	HBlankIntr
0x08000844	thumb	VCountIntr
0x08000878	thumb	SerialIntr
0x080008A8	thumb	IntrDummy
0x080008AC	thumb	WaitForVBlank
0x080008DC	thumb	SetTrainerHillVBlankCounter
0x080008E8	thumb	ClearTrainerHillVBlankCounter
0x080008F4	thumb	DoSoftReset
0x08000964	thumb	ClearPokemonCrySongs
0x08000988	thumb	PutMemBlockHeader
0x080009A4	thumb	PutFirstMemBlockHeader
0x080009B8	thumb	AllocInternal
0x08000A20	thumb	FreeInternal
0x08000A84	thumb	AllocZeroedInternal
0x08000AC4	thumb	CheckMemBlockInternal
0x08000B1C	thumb	InitHeap
0x08000B38	thumb	Alloc
0x08000B4C	thumb	AllocZeroed
0x08000B60	thumb	Free
0x08000B74	thumb	CheckMemBlock
0x08000B88	thumb	CheckHeap
0x08000BB8	thumb	ClearDma3Requests
0x08000BF0	thumb	ProcessDma3Requests
0x08000E68	thumb	RequestDma3Copy
0x08000F00	thumb	RequestDma3Fill
0x08000FA4	thumb	CheckForSpaceForDma3Request
0x08000FE4	thumb	InitGpuRegManager
