# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x08000264	0x080002DF	thumb	AgbMain
0x080002E0	0x080003D7	thumb	main_loop__Fv
0x080003D8	0x080004D7	thumb	sub_080003D8__Fv
0x080004D8	0x080005FF	thumb	sub_080004D8
0x08000600	0x0800069F	thumb	sub_08000600
0x080006A0	0x08000747	thumb	sub_080006A0
0x08000748	0x0800078F	thumb	sub_08000748
0x08000790	0x080007AF	thumb	sub_08000790
0x080007B0	0x080007CB	thumb	sub_080007B0
0x080007CC	0x08000837	thumb	sub_080007CC
0x08000838	0x080008AB	thumb	setup_vectors
0x080008AC	0x080008CF	thumb	sub_080008AC
0x080008D0	0x080008DB	thumb	sub_080008D0
0x080008DC	0x080008DD	thumb	sub_080008DC
0x080008E0	0x08000903	thumb	seed_rng
0x08000904	0x0800090F	thumb	init_sram
0x08000910	0x0800091D	thumb	init_all_data
0x08000920	0x08000943	thumb	sub_08000920
0x08000944	0x08000BE7	thumb	init_save
0x08000BE8	0x08000D53	thumb	sub_08000BE8
0x08000D54	0x08000D63	thumb	get_enginemode_flag_1
0x08000D64	0x08000D87	thumb	set_enginemode_flag_1
0x08000D88	0x08000DBF	thumb	write_ram_magic
0x08000DC0	0x08000E09	thumb	check_ram_magic
0x08000E0C	0x08000E2F	thumb	clear_ram
0x08000E30	0x08000E5B	thumb	clear_gfx
0x08000E5C	0x08000F03	thumb	sub_08000E5C
0x08000F04	0x08000F9F	thumb	sub_08000F04
0x08000FA0	0x08000FE1	thumb	sub_08000FA0__FP14GraphicsBufferUsUs
0x08000FE4	0x0800100B	thumb	sub_08000FE4__FP14GraphicsBufferUs
0x0800100C	0x08001137	thumb	sub_0800100C__FPvUi
0x08001138	0x08001157	thumb	sub_08001138__FPvUs
0x08001158	0x080012BB	thumb	sub_08001158__FUsUs
0x080012BC	0x08001377	thumb	sub_080012BC
0x08001378	0x080013CF	thumb	sub_08001378
0x080013D0	0x08001453	thumb	sub_080013D0
0x08001454	0x0800152F	thumb	DmaClearGraphicsBuffer
0x08001530	0x0800160B	thumb	CpuClearGraphicsBuffer
0x0800160C	0x0800162F	thumb	CpuCopyPaletteToGfxBuffer
0x08001630	0x0800164B	thumb	resetInputState
0x0800164C	0x080016E3	thumb	pollInput
0x080016E4	0x08001717	thumb	CheckSoftResetKeys
0x08001718	0x08001743	thumb	DoReset
0x08001744	0x08001777	thumb	sub_08001744
0x08001778	0x080017AB	thumb	sub_08001778
0x080017AC	0x080017DF	thumb	sub_080017AC
0x080017E0	0x08001813	thumb	sub_080017E0
0x08001814	0x0800186B	thumb	sub_08001814
0x0800186C	0x080018E3	thumb	sub_0800186C
0x080018E4	0x080018F3	thumb	sub_080018E4
0x080018F4	0x0800190B	thumb	sub_080018F4
0x0800190C	0x0800192F	thumb	sub_0800190C
0x08001930	0x0800195F	thumb	sub_08001930
0x08001960	0x08001969	thumb	sub_08001960
0x0800196C	0x080019A3	thumb	Dma3CopyOamFromGfxBuffer
0x080019A4	0x080019DB	thumb	Dma3CopyPalettesFromGfxBuffer
0x080019DC	0x08001A13	thumb	Dma3Clear
0x08001A14	0x08001A37	thumb	Dma3Copy
0x08001A38	0x08001A6F	thumb	Dma3Fill
0x08001A70	0x08001A93	thumb	Dma0Clear
0x08001A94	0x08001AAB	thumb	Dma0Copy
0x08001AAC	0x08001ACB	thumb	Dma0Fill
0x08001ACC	0x08001B17	thumb	CpuMemClear
0x08001B18	0x08001B51	thumb	CpuSmartSet
0x08001B54	0x08001B9B	thumb	CpuMemFill
0x08001B9C	0x08001BCB	thumb	misctext_get_room_description
0x08001BCC	0x08001BFB	thumb	misctext_get_goods_description
0x08001BFC	0x08001C2B	thumb	misctext_get_psi_description
0x08001C2C	0x08001C5B	thumb	misctext_get_skill_description
0x08001C5C	0x08001D2B	thumb	get_misctext_msg
0x08001D2C	0x08001D55	thumb	isCharIdOverworldPlayable
0x08001D58	0x08001D6F	thumb	isLucasOrKumatora
0x08001D70	0x08001DAF	thumb	sub_08001D70
0x08001DB0	0x08001DC7	thumb	get_misctext_len
0x08001DC8	0x08001DF7	thumb	sub_08001DC8
0x08001DF8	0x08001E3F	thumb	sub_08001DF8
0x08001E40	0x08001EA3	thumb	sub_08001E40
0x08001EA4	0x08001F4F	thumb	sub_08001EA4
0x08001F50	0x08001FB3	thumb	sub_08001F50
0x08001FB4	0x08002103	thumb	sub_08001FB4
0x08002104	0x08002253	thumb	sub_08002104
0x08002254	0x080023A3	thumb	sub_08002254
0x080023A4	0x080023DF	thumb	sub_080023A4
0x080023E0	0x0800241F	thumb	sub_080023E0
0x08002420	0x08002473	thumb	copyText
0x08002474	0x080024EF	thumb	sub_08002474
0x080024F0	0x0800255B	thumb	sub_080024F0
0x0800255C	0x0800259F	thumb	sub_0800255C
0x080025A0	0x080025D7	thumb	getNthMemoPage
0x080025D8	0x08002603	thumb	sub_080025D8
0x08002604	0x08002633	thumb	sub_08002604
0x08002634	0x0800268B	thumb	breakIntoDigits
0x0800268C	0x080026BF	thumb	sub_0800268C
0x080026C0	0x080026EF	thumb	incrementSavePlaytime
0x080026F0	0x0800272B	thumb	incrementSessionPlaytime
0x0800272C	0x0800275F	thumb	sub_0800272C
0x08002760	0x08002799	thumb	sub_08002760
0x0800279C	0x080027E1	thumb	sub_0800279C
0x080027E4	0x08002829	thumb	sub_080027E4
0x0800282C	0x0800289B	thumb	sub_0800282C
0x0800289C	0x080028A7	thumb	Blob_GetEntry
0x080028A8	0x080028B5	thumb	Blob_GetEntrySize
0x080028B8	0x080028BB	thumb	Blob_GetNumEntries
0x080028BC	0x080028F3	thumb	set_event_flag
0x080028F4	0x08002935	thumb	sub_080028F4
0x08002938	0x0800294F	thumb	sub_08002938
0x08002950	0x0800296F	thumb	sub_08002950
0x08002970	0x08002997	thumb	get_flag
0x08002998	0x080029BB	thumb	get_shop_flag
0x080029BC	0x080029D3	thumb	get_progression_flag
0x080029D4	0x080029F7	thumb	sub_080029D4
0x080029F8	0x08002A2F	thumb	set_giftbox_flag
0x08002A30	0x08002A57	thumb	get_giftbox_flag
0x08002A58	0x08002A8D	thumb	sub_08002A58
0x08002A90	0x08002AB9	thumb	sub_08002A90
0x08002ABC	0x08002AF3	thumb	sub_08002ABC
0x08002AF4	0x08002B1B	thumb	sub_08002AF4
0x08002B1C	0x08002B5F	thumb	sub_08002B1C
0x08002B60	0x08002BA3	thumb	sub_08002B60
0x08002BA4	0x08002BCB	thumb	sub_08002BA4
0x08002BCC	0x08002BF1	thumb	sub_08002BCC
0x08002BF4	0x08002C1F	thumb	sub_08002BF4
0x08002C20	0x08002C4B	thumb	sub_08002C20
0x08002C4C	0x08002C53	thumb	sub_08002C4C
0x08002C54	0x08002C5B	thumb	sub_08002C54
