# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x08000264	thumb	AgbMain
0x080002E0	thumb	main_loop__Fv
0x080003D8	thumb	sub_080003D8__Fv
0x080004D8	thumb	sub_080004D8
0x08000600	thumb	sub_08000600
0x080006A0	thumb	sub_080006A0
0x08000748	thumb	sub_08000748
0x08000790	thumb	sub_08000790
0x080007B0	thumb	sub_080007B0
0x080007CC	thumb	sub_080007CC
0x08000838	thumb	setup_vectors
0x080008AC	thumb	sub_080008AC
0x080008D0	thumb	sub_080008D0
0x080008DC	thumb	sub_080008DC
0x080008E0	thumb	seed_rng
0x08000904	thumb	init_sram
0x08000910	thumb	init_all_data
0x08000920	thumb	sub_08000920
0x08000944	thumb	init_save
0x08000BE8	thumb	sub_08000BE8
0x08000D54	thumb	get_enginemode_flag_1
0x08000D64	thumb	set_enginemode_flag_1
0x08000D88	thumb	write_ram_magic
0x08000DC0	thumb	check_ram_magic
0x08000E0C	thumb	clear_ram
0x08000E30	thumb	clear_gfx
0x08000E5C	thumb	sub_08000E5C
0x08000F04	thumb	sub_08000F04
0x08000FA0	thumb	sub_08000FA0__FP14GraphicsBufferUsUs
0x08000FE4	thumb	sub_08000FE4__FP14GraphicsBufferUs
0x0800100C	thumb	sub_0800100C__FPvUi
0x08001138	thumb	sub_08001138__FPvUs
0x08001158	thumb	sub_08001158__FUsUs
0x080012BC	thumb	sub_080012BC
0x08001378	thumb	sub_08001378
0x080013D0	thumb	sub_080013D0
0x08001454	thumb	DmaClearGraphicsBuffer
0x08001530	thumb	CpuClearGraphicsBuffer
0x0800160C	thumb	CpuCopyPaletteToGfxBuffer
0x08001630	thumb	resetInputState
0x0800164C	thumb	pollInput
0x080016E4	thumb	CheckSoftResetKeys
0x08001718	thumb	DoReset
0x08001744	thumb	sub_08001744
0x08001778	thumb	sub_08001778
0x080017AC	thumb	sub_080017AC
0x080017E0	thumb	sub_080017E0
0x08001814	thumb	sub_08001814
0x0800186C	thumb	sub_0800186C
0x080018E4	thumb	sub_080018E4
0x080018F4	thumb	sub_080018F4
0x0800190C	thumb	sub_0800190C
0x08001930	thumb	sub_08001930
0x08001960	thumb	sub_08001960
0x0800196C	thumb	Dma3CopyOamFromGfxBuffer
0x080019A4	thumb	Dma3CopyPalettesFromGfxBuffer
0x080019DC	thumb	Dma3Clear
0x08001A14	thumb	Dma3Copy
0x08001A38	thumb	Dma3Fill
0x08001A70	thumb	Dma0Clear
0x08001A94	thumb	Dma0Copy
0x08001AAC	thumb	Dma0Fill
0x08001ACC	thumb	CpuMemClear
0x08001B18	thumb	CpuSmartSet
0x08001B54	thumb	CpuMemFill
0x08001B9C	thumb	misctext_get_room_description
0x08001BCC	thumb	misctext_get_goods_description
0x08001BFC	thumb	misctext_get_psi_description
0x08001C2C	thumb	misctext_get_skill_description
0x08001C5C	thumb	get_misctext_msg
0x08001D2C	thumb	isCharIdOverworldPlayable
0x08001D58	thumb	isLucasOrKumatora
0x08001D70	thumb	sub_08001D70
0x08001DB0	thumb	get_misctext_len
0x08001DC8	thumb	sub_08001DC8
0x08001DF8	thumb	sub_08001DF8
0x08001E40	thumb	sub_08001E40
0x08001EA4	thumb	sub_08001EA4
0x08001F50	thumb	sub_08001F50
0x08001FB4	thumb	sub_08001FB4
0x08002104	thumb	sub_08002104
0x08002254	thumb	sub_08002254
0x080023A4	thumb	sub_080023A4
0x080023E0	thumb	sub_080023E0
0x08002420	thumb	copyText
0x08002474	thumb	sub_08002474
0x080024F0	thumb	sub_080024F0
0x0800255C	thumb	sub_0800255C
0x080025A0	thumb	getNthMemoPage
0x080025D8	thumb	sub_080025D8
0x08002604	thumb	sub_08002604
0x08002634	thumb	breakIntoDigits
0x0800268C	thumb	sub_0800268C
0x080026C0	thumb	incrementSavePlaytime
