# addr	region	size	name  (STT_OBJECT, plus absolute symbols landing in a GBA region)
0x02000000	ewram	0x0	EWRAM_START
0x02001C5C	ewram	0xC	sIrcManager
0x02001C70	ewram	0xC	sClockManager
0x02001C7C	ewram	0xC	sPostSysClockRTTI
0x02001C88	ewram	0xC	sPostAppClockRTTI
0x02001C94	ewram	0xC	sAppClockRTTI
0x02001CA0	ewram	0xC	sPreAppClockRTTI
0x02001CAC	ewram	0xC	sSysClockRTTI
0x02001CB8	ewram	0xC	sPreSysClockRTTI
0x02001CF4	ewram	0xC	sObjEngineManager
0x02001D1C	ewram	0xC	sObjPltPoolManager
0x02001D30	ewram	0xC	sKeyPadManager
0x02001D3C	ewram	0xC	sSelectKeyLongPressRTTI
0x02001D48	ewram	0xC	sSelectKeyPressRTTI
0x02001D54	ewram	0xC	sStartKeyLongPressRTTI
0x02001D60	ewram	0xC	sStartKeyPressRTTI
0x02001D6C	ewram	0xC	sRKeyLongPressRTTI
0x02001D78	ewram	0xC	sRKeyPressRTTI
0x02001D84	ewram	0xC	sLKeyLongPressRTTI
0x02001D90	ewram	0xC	sLKeyPressRTTI
0x02001D9C	ewram	0xC	sBKeyLongPressRTTI
0x02001DA8	ewram	0xC	sBKeyPressRTTI
0x02001DB4	ewram	0xC	sAKeyLongPressRTTI
0x02001DC0	ewram	0xC	sAKeyPressRTTI
0x02001DCC	ewram	0xC	sRightKeyLongPressRTTI
0x02001DD8	ewram	0xC	sRightKeyPressRTTI
0x02001DE4	ewram	0xC	sLeftKeyLongPressRTTI
0x02001DF0	ewram	0xC	sLeftKeyPressRTTI
0x02001DFC	ewram	0xC	sDownKeyLongPressRTTI
0x02001E08	ewram	0xC	sDownKeyPressRTTI
0x02001E14	ewram	0xC	sUpKeyLongPressRTTI
0x02001E20	ewram	0xC	sUpKeyPressRTTI
0x02001F00	ewram	0xC	sEfcSystemManager
0x02001F14	ewram	0xC	sSndSystemManager
0x02001F68	ewram	0x4	gSystemAllocator
0x02001F88	ewram	0xC	sSystemManager
0x02001F9C	ewram	0xC	sKeyFocusManagerManager
0x0200211C	ewram	0xC	sRhythmBgmRTTI
0x02002128	ewram	0xC	sRhythmOutRTTI
0x02002134	ewram	0xC	sRhythmInRTTI
0x02002140	ewram	0xC	sUnitDieRTTI
0x0200214C	ewram	0xC	sUnitEscapeRTTI
0x02002158	ewram	0xC	sUnitReviveRTTI
0x02002164	ewram	0xC	sUnitJoinRTTI
0x02002170	ewram	0xC	sResumeRTTI
0x0200217C	ewram	0xC	sSuspendRTTI
0x020021AC	ewram	0x4	sPlayerRTTI
0x02002200	ewram	0xC	sPlayerSkillRTTI
0x02002318	ewram	0xC	sGuestRTTI
0x02002368	ewram	0xC	sGuestSkillRTTI
0x02002520	ewram	0xC	sMonsterRTTI
